"","ID","Month","Month.Clutch","Laid","Hatched","Reef","Treatment","expt.x","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Prophatch","Anemone.ID","Clutch.Age","M.tend","Age","expt.y","OLRE"
"188",590,"1",1,89,38,"Gava 1","M","Y",51,51.4,51.2,40,40.4,40.2,"0.4",0.4,0.426966292134831,590,6,10.09593333,"Late","Y",188
"189",590,"1",2,312,197,"Gava 1","M","Y",51,51.4,51.2,40,40.4,40.2,"0.4",0.4,0.631410256410256,590,7,14.70728333,"Late","Y",189
"190",590,"2",1,394,327,"Gava 1","M","Y",51,51.4,51.2,40,40.4,40.2,"0.4",0.4,0.82994923857868,590,7,12.73093333,"Late","Y",190
"191",590,"2",2,312,186,"Gava 1","M","Y",51,51.4,51.2,40,40.4,40.2,"0.4",0.4,0.596153846153846,590,6,13.7943,"Late","Y",191
"192",600,"1",2,232,63,"Hanging 2","M","Y",49,50.6,49.8,33.2,35.8,34.5,"2.6",1.6,0.271551724137931,NA,NA,NA,NA,NA,192
"193",600,"2",1,258,67,"Hanging 2","M","Y",49,50.6,49.8,33.2,35.8,34.5,"2.6",1.6,0.25968992248062,600,7,8.709916667,"Late","Y",193
"194",602,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,6,14.63056667,"Late","Y",194
"195",602,"1",2,463,348,"Bob's","F","Y",65,66.3,65.65,49.9,50,49.95,"0.1",1.3,0.751619870410367,602,6,14.64763333,"Late","Y",195
"196",602,"2",1,402,267,"Bob's","F","Y",65,66.3,65.65,49.9,50,49.95,"0.1",1.3,0.664179104477612,602,7,14.74891667,"Late","Y",196
"197",602,"2",2,671,488,"Bob's","F","Y",65,66.3,65.65,49.9,50,49.95,"0.1",1.3,0.727272727272727,602,7,14.98651667,"Late","Y",197
"198",604,"2",2,165,157,"Luba","C","Y",57,57.7,57.35,42.3,43.9,43.1,"1.6",0.7,0.951515151515152,604,6,7.768016667,"Late","Y",198
"199",607,"1",1,321,99,"Hanging 2","F","Y",51,50.8,50.9,38.5,39.4,38.95,"0.9",-0.2,0.308411214953271,607,7,13.15348333,"Late","Y",199
"200",607,"1",2,114,22,"Hanging 2","F","Y",51,50.8,50.9,38.5,39.4,38.95,"0.9",-0.2,0.192982456140351,607,7,7.21145,"Late","Y",200
"201",608,"1",2,251,217,"Hanging 2","C","Y",53.7,53.8,53.75,37.4,NA,37.4,"-37.4",0.1,0.864541832669323,NA,NA,NA,NA,NA,201
"202",608,"2",1,378,338,"Hanging 2","C","Y",53.7,53.8,53.75,37.4,NA,37.4,"-37.4",0.1,0.894179894179894,608,7,11.02688333,"Late","Y",202
"203",609,"1",1,501,405,"Hanging 1","C","Y",59.2,60,59.6,44,44.6,44.3,"0.6",0.8,0.808383233532934,609,6,12.28675,"Late","Y",203
"204",609,"2",2,213,149,"Hanging 1","C","Y",59.2,60,59.6,44,44.6,44.3,"0.6",0.8,0.699530516431925,609,6,13.75255,"Late","Y",204
"205",610,"1",1,262,257,"Bob's","C","Y",53.7,53.5,53.6,42.1,43,42.55,"0.9",-0.2,0.980916030534351,610,7,11.73268333,"Late","Y",205
"206",610,"2",1,275,270,"Bob's","C","Y",53.7,53.5,53.6,42.1,43,42.55,"0.9",-0.2,0.981818181818182,610,6,13.27368333,"Late","Y",206
"207",610,"2",2,443,378,"Bob's","C","Y",53.7,53.5,53.6,42.1,43,42.55,"0.9",-0.2,0.853273137697517,610,6,12.5204,"Late","Y",207
"208",610,"2",3,389,317,"Bob's","C","Y",53.7,53.5,53.6,42.1,43,42.55,"0.9",-0.2,0.814910025706941,NA,NA,NA,NA,NA,208
