"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"53",362,"1",3,"M","Marks","7/13/2018",30,4,8.921516667,0.93525,0,0,"M","6/13/2018","Early",393,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"54",362,"1",2,"M","Marks","7/3/2018",20,3,6.946466667,1.664183333,0,0,"M","6/13/2018","Early",490,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"55",362,"1",2,"M","Marks","7/7/2018",24,7,14.42296667,2.559816667,0,0,"M","6/13/2018","Late",490,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"56",362,"1",3,"M","Marks","7/15/2018",32,6,9.52075,0.6748,0,0,"M","6/13/2018","Late",393,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"57",362,"2",2,"M","Marks ","8/6/2018",20,3,8.768583333,3.80645,0,0,"M","7/17/2018","Early",608,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"58",362,"2",2,"M","Marks ","8/10/2018",24,7,14.7475,10.45581667,0,0,"M","7/17/2018","Late",608,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"59",362,"2",1,"M","Marks","7/31/2018",14,7,14.6089,5.70645,0,0,"M","7/17/2018","Late",662,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"60",362,"2",1,"M","Marks","7/27/2018",10,3,10.06898333,1.260883333,0,0,"M","7/17/2018","Early",662,362,"Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3
"61",380,"1",2,"F","First","7/4/2018",21,3,10.86013333,1.613016667,0,0,"T","6/13/2018","Early",368,380,"Y",49,51,50,38.4,38,38.2,"-0.4",2
"62",380,"2",1,"F","First","8/5/2018",20,7,12.89858333,0.399833333,0,0,"T","7/16/2018","Late",160,380,"Y",49,51,50,38.4,38,38.2,"-0.4",2
"63",381,"1",1,"F","Luba","7/1/2018",18,7,12.30193333,3.015166667,0,0,"M","6/13/2018","Late",271,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"64",381,"1",2,"F","Luba","7/11/2018",28,7,13.87163333,4.15675,0,0,"M","6/13/2018","Late",302,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"65",381,"2",1,"F","Luba Luba","7/24/2018",9,4,8.452816667,0.15765,0,0,"T","7/15/2018","Early",402,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"66",381,"2",2,"F","Luba","8/3/2018",19,3,9.657833333,1.058,0,0,"M","7/15/2018","Early",479,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"67",381,"1",2,"F","Luba","7/7/2018",24,3,10.79656667,1.16615,0,0,"M","6/13/2018","Early",302,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"68",381,"2",1,"F","Luba","7/26/2018",11,6,12.17898333,2.9332,0,0,"M","7/15/2018","Late",402,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"69",381,"1",1,"F","Luba","6/27/2018",14,3,6.9518,0.532183333,0,0,"M","6/13/2018","Early",271,381,"Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7
"70",382,"1",1,"C","Gava 1","7/1/2018",18,3,12.83738333,1.65145,0,0,"M","6/13/2018","Early",276,382,"Y",61,61.4,61.2,46,47,46.5,"1",0.4
"71",384,"2",1,"M","Hanging 2","7/26/2018",8,4,12.4123,2.620283333,0,0,"M","7/18/2018","Early",343,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"72",384,"2",2,"M","Hanging 2 ","8/5/2018",18,3,12.40433333,1.57115,0,0,"M","7/18/2018","Early",362,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"73",384,"1",1,"M","Hanging 2","6/20/2018",7,4,3.100216667,1.481633333,0,0,"M","6/13/2018","Early",209,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"74",384,"1",1,"M","Hanging 2","6/22/2018",9,6,11.40006667,3.048083333,0,1,"M","6/13/2018","Late",209,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
"75",384,"1",2,"M","Hanging 2","7/4/2018",21,7,11.53111667,1.270383333,0,0,"T","6/13/2018","Late",273,384,"Y",51,51.4,51.2,40.3,40,40.15,"-0.3",0.4
